x,y,r
-1.0676,-1.471,0.08
-0.9552,-1.471,0.08
-0.8429,-1.471,0.08
-0.7305,-1.471,0.08
-0.6181,-1.471,0.08
-0.5057,-1.471,0.08
-0.3933,-1.471,0.08
-0.281,-1.471,0.08
-0.1686,-1.471,0.08
-0.0562,-1.471,0.08
0.0562,-1.471,0.08
0.1686,-1.471,0.08
0.281,-1.471,0.08
0.3933,-1.471,0.08
0.5057,-1.471,0.08
0.6181,-1.471,0.08
0.7305,-1.471,0.08
0.8429,-1.471,0.08
0.9552,-1.471,0.08
1.0676,-1.471,0.08
-1.0676,-1.3621,0.08
-0.9552,-1.3621,0.08
-0.8429,-1.3621,0.08
-0.7305,-1.3621,0.08
-0.6181,-1.3621,0.08
-0.5057,-1.3621,0.08
-0.3933,-1.3621,0.08
-0.281,-1.3621,0.08
-0.1686,-1.3621,0.08
-0.0562,-1.3621,0.08
0.0562,-1.3621,0.08
0.1686,-1.3621,0.08
0.281,-1.3621,0.08
0.3933,-1.3621,0.08
0.5057,-1.3621,0.08
0.6181,-1.3621,0.08
0.7305,-1.3621,0.08
0.8429,-1.3621,0.08
0.9552,-1.3621,0.08
1.0676,-1.3621,0.08
-1.0676,-1.2531,0.08
-0.9552,-1.2531,0.08
-0.8429,-1.2531,0.08
-0.7305,-1.2531,0.08
-0.6181,-1.2531,0.08
-0.5057,-1.2531,0.08
-0.3933,-1.2531,0.08
-0.281,-1.2531,0.08
-0.1686,-1.2531,0.08
-0.0562,-1.2531,0.08
0.0562,-1.2531,0.08
0.1686,-1.2531,0.08
0.281,-1.2531,0.08
0.3933,-1.2531,0.08
0.5057,-1.2531,0.08
0.6181,-1.2531,0.08
0.7305,-1.2531,0.08
0.8429,-1.2531,0.08
0.9552,-1.2531,0.08
1.0676,-1.2531,0.08
-1.0676,-1.1441,0.08
-0.9552,-1.1441,0.08
-0.8429,-1.1441,0.08
-0.7305,-1.1441,0.08
-0.6181,-1.1441,0.08
-0.5057,-1.1441,0.08
-0.3933,-1.1441,0.08
-0.281,-1.1441,0.08
-0.1686,-1.1441,0.08
-0.0562,-1.1441,0.08
0.0562,-1.1441,0.08
0.1686,-1.1441,0.08
0.281,-1.1441,0.08
0.3933,-1.1441,0.08
0.5057,-1.1441,0.08
0.6181,-1.1441,0.08
0.7305,-1.1441,0.08
0.8429,-1.1441,0.08
0.9552,-1.1441,0.08
1.0676,-1.1441,0.08
-1.0676,-1.0352,0.08
-0.9552,-1.0352,0.08
-0.8429,-1.0352,0.08
-0.7305,-1.0352,0.08
-0.6181,-1.0352,0.08
-0.5057,-1.0352,0.08
-0.3933,-1.0352,0.08
-0.281,-1.0352,0.08
-0.1686,-1.0352,0.08
-0.0562,-1.0352,0.08
0.0562,-1.0352,0.08
0.1686,-1.0352,0.08
0.281,-1.0352,0.08
0.3933,-1.0352,0.08
0.5057,-1.0352,0.08
0.6181,-1.0352,0.08
0.7305,-1.0352,0.08
0.8429,-1.0352,0.08
0.9552,-1.0352,0.08
1.0676,-1.0352,0.08
-1.0676,-0.9262,0.08
-0.9552,-0.9262,0.08
-0.8429,-0.9262,0.08
-0.7305,-0.9262,0.08
-0.6181,-0.9262,0.08
-0.5057,-0.9262,0.08
-0.3933,-0.9262,0.08
-0.281,-0.9262,0.08
-0.1686,-0.9262,0.08
-0.0562,-0.9262,0.08
0.0562,-0.9262,0.08
0.1686,-0.9262,0.08
0.281,-0.9262,0.08
0.3933,-0.9262,0.08
