layer,number of cells,total area,mean area,mean radius,mean distance,normalized mean distance,coverage
locally_uniform\lu0_20_16.csv,126,15.426476566187324,0.1224323536998994,0.19714285714285718,1.502258824247649,7.620153456328652,1.9315901222506155
locally_uniform\lu0_24_16.csv,79,13.39072452666113,0.16950284210963454,0.2308860759493671,1.5378511774573824,6.6606492883296715,1.584301477179648
locally_uniform\lu0_28_16.csv,63,14.024069605624835,0.22260427945436245,0.2628571428571429,1.556019031277252,5.919637618989545,1.596487043673368
locally_uniform\lu0_32_16.csv,63,18.09557368467721,0.2872313283282097,0.2971428571428572,1.556019031277252,5.2366025091061355,2.0534457871878025
locally_uniform\lu0_36_16.csv,63,22.709944974269888,0.360475317051903,0.3314285714285714,1.556019031277252,4.694885008164123,2.5713323631708276
locally_uniform\lu0_40_16.csv,44,18.316741807489933,0.4162895865338621,0.35090909090909095,1.5809720405852632,4.505360737419143,1.9315901222506173
locally_uniform\lu0_44_16.csv,44,22.011254768111524,0.5002557901843528,0.38272727272727275,1.5809720405852632,4.130805806754844,2.3154354668027453
locally_uniform\lu0_48_16.csv,33,18.09557368467721,0.5483507177174912,0.3927272727272727,1.5919647734315145,4.053614006422838,1.7488066248448448
locally_uniform\lu0_52_16.csv,33,21.11150263212341,0.6397425040037398,0.4218181818181818,1.5919647734315145,3.774054419772987,2.034405839541367
locally_uniform\lu0_56_16.csv,33,24.36870589536531,0.7384456331928881,0.4509090909090909,1.5919647734315145,3.530567037852149,2.342852991413616
locally_uniform\lu1_20_16.csv,142,16.7132729170977,0.11769910504998381,0.19295774647887323,1.4380154166699015,7.452488655734526,2.1265591861501094
locally_uniform\lu1_24_16.csv,95,14.677520877571506,0.1545002197639106,0.21894736842105267,1.4335811106511147,6.54760603422384,1.7792705410791414
locally_uniform\lu1_28_16.csv,79,15.310865956535212,0.19380842982955965,0.24202531645569622,1.4253832415404355,5.889397284607448,1.7914561075728614
locally_uniform\lu1_32_16.csv,79,19.382370035587584,0.24534645614667827,0.269367088607595,1.4253832415404355,5.291601319628495,2.2484148510872957
locally_uniform\lu1_36_16.csv,79,23.996741325180263,0.30375621930607927,0.2967088607594937,1.4253832415404355,4.803979355021092,2.7663014270703203
locally_uniform\lu1_40_16.csv,60,19.60353815840031,0.3267256359733385,0.3,1.4002246060687717,4.667415353562573,2.1265591861501107
locally_uniform\lu1_44_16.csv,60,23.298051119021903,0.3883008519836984,0.32333333333333336,1.4002246060687717,4.330591565161149,2.5104045307022385
locally_uniform\lu1_48_16.csv,49,19.382370035587584,0.3955585721548487,0.316734693877551,1.365818338054507,4.3121841858679675,1.9437756887443385
locally_uniform\lu1_52_16.csv,49,22.39829898303379,0.45710814251089366,0.33632653061224493,1.365818338054507,4.060988990574686,2.2293749034408608
locally_uniform\lu1_56_16.csv,49,25.65550224627569,0.5235816784954223,0.3559183673469388,1.365818338054507,3.8374483121944287,2.537822055313109
multi_layer\ml_4_16_52.csv,2389,44.7161731941357,0.018717527498591752,0.05311008790288824,1.401887172190886,26.39587369454624,5.240555190204735
non_uniform\non_uniform_0.csv,38,15.532976557144012,0.408762540977474,0.30710526315789477,1.1990384680580624,3.9043240605146843,1.7005067602434276
non_uniform\non_uniform_1.csv,79,13.695144854793982,0.17335626398473394,0.20392405063291139,1.1831322466077254,5.801827900807592,1.5827118725335765
non_uniform\non_uniform_8.csv,128,11.367538857749306,0.08880889732616645,0.15453125,1.2579430026613012,8.140379390325913,1.5516667438481457
uniform\u04_40.csv,2200,11.058406140636075,0.005026548245743671,0.04,1.393318189764525,34.832954744113124,1.6039251897356717
uniform\u08_21.csv,609,12.24467152663158,0.02010619298297468,0.08,1.4214123139167234,17.767653923959042,1.7059793091205624
uniform\u08_25.csv,875,17.592918860102845,0.02010619298297468,0.08,1.4113786143651366,17.642232679564206,2.4858555647185336
uniform\u08_30.csv,1230,24.730617369058855,0.02010619298297468,0.08,1.403662559043107,17.54578198803884,3.5304655216380696
uniform\u08_35.csv,1680,33.778404211397465,0.020106192982974683,0.07999999999999999,1.3977155253169327,17.47144406646166,4.843236138113626
