config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	28000
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08	-1.122439024390244	1.122439024390244	40	-1.5225454545454546	1.5225454545454546	54	0.7	28000
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.12	-1.160487804878049	1.160487804878049	40	-1.5610909090909093	1.5610909090909093	54	0.7	28000
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.1985365853658536	1.1985365853658536	40	-1.5996363636363635	1.5996363636363635	54	0.7	28000
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2	-1.2365853658536585	1.2365853658536585	40	-1.6381818181818182	1.6381818181818182	54	0.7	28000
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.24	-1.2746341463414634	1.2746341463414634	40	-1.6767272727272726	1.6767272727272726	54	0.7	28000
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.28	-1.3126829268292683	1.3126829268292683	40	-1.7152727272727273	1.7152727272727273	54	0.7	28000
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.32	-1.3507317073170733	1.3507317073170733	40	-1.753818181818182	1.753818181818182	54	0.7	28000
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.36	-1.388780487804878	1.388780487804878	40	-1.7923636363636362	1.7923636363636362	54	0.7	28000
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.4	-1.4268292682926829	1.4268292682926829	40	-1.8309090909090908	1.8309090909090908	54	0.7	28000
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.44	-1.4648780487804878	1.4648780487804878	40	-1.8694545454545455	1.8694545454545455	54	0.7	28000
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.48	-1.5029268292682927	1.5029268292682927	40	-1.908	1.908	54	0.7	28000
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.52	-1.5409756097560976	1.5409756097560976	40	-1.9465454545454546	1.9465454545454546	54	0.7	28000
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.56	-1.5790243902439025	1.5790243902439025	40	-1.9850909090909092	1.9850909090909092	54	0.7	28000
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.484	1.484	54	0.7	28000
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.122439024390244	1.122439024390244	40	-1.5225454545454546	1.5225454545454546	54	0.7	28000
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.160487804878049	1.160487804878049	40	-1.5610909090909093	1.5610909090909093	54	0.7	28000
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.1985365853658536	1.1985365853658536	40	-1.5996363636363635	1.5996363636363635	54	0.7	28000
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2	-1.2365853658536585	1.2365853658536585	40	-1.6381818181818182	1.6381818181818182	54	0.7	28000
c19	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24	-1.2746341463414634	1.2746341463414634	40	-1.6767272727272726	1.6767272727272726	54	0.7	28000
c20	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28	-1.3126829268292683	1.3126829268292683	40	-1.7152727272727273	1.7152727272727273	54	0.7	28000
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32	-1.3507317073170733	1.3507317073170733	40	-1.753818181818182	1.753818181818182	54	0.7	28000
c22	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36	-1.388780487804878	1.388780487804878	40	-1.7923636363636362	1.7923636363636362	54	0.7	28000
c23	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4	-1.4268292682926829	1.4268292682926829	40	-1.8309090909090908	1.8309090909090908	54	0.7	28000
c24	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44	-1.4648780487804878	1.4648780487804878	40	-1.8694545454545455	1.8694545454545455	54	0.7	28000
c25	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.48	-1.5029268292682927	1.5029268292682927	40	-1.908	1.908	54	0.7	28000
c26	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.52	-1.5409756097560976	1.5409756097560976	40	-1.9465454545454546	1.9465454545454546	54	0.7	28000
c27	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.56	-1.5790243902439025	1.5790243902439025	40	-1.9850909090909092	1.9850909090909092	54	0.7	28000
