x,y,r
-0.066,0.565,0.12
-0.935,0.436,0.11999999999999998
0.171,0.67,0.12
0.932,-1.27,0.4
-0.537,-0.847,0.2
0.475,-0.905,0.24
-1.104,1.465,0.12
-0.935,1.22,0.12
0.111,0.483,0.12
0.472,0.116,0.24
-0.982,-1.048,0.24
0.831,1.054,0.11999999999999998
0.795,0.853,0.08
-0.946,-1.324,0.24
-0.834,0.603,0.12
0.91,0.309,0.28
0.418,0.859,0.12
0.057,-1.344,0.27999999999999997
-0.577,-1.438,0.24
-0.191,0.602,0.12
-0.996,-0.638,0.24000000000000005
-1.111,1.255,0.16
-0.267,-1.083,0.19999999999999996
0.799,0.959,0.08
-0.436,0.423,0.12
0.818,0.609,0.08
-0.002,0.673,0.12
0.14,0.068,0.19999999999999996
1.048,0.999,0.11999999999999998
0.453,-0.196,0.24
-0.62,0.636,0.16
-0.626,1.044,0.16
-0.992,0.129,0.21000000000000002
-0.642,1.262,0.11999999999999998
0.622,0.72,0.08
0.169,-0.734,0.16
-0.811,0.809,0.12
0.917,1.42,0.2
-0.378,1.203,0.19
-0.185,0.914,0.15999999999999998
0.579,0.857,0.08
0.626,0.956,0.12
0.515,-0.571,0.28
0.106,-1.006,0.19999999999999996
-1.024,0.579,0.12
-0.276,-0.857,0.2
-0.453,0.61,0.12
0.391,0.625,0.08
-0.079,-0.846,0.16
-0.326,-0.587,0.2
0.893,0.925,0.08000000000000002
-0.305,1.456,0.15999999999999998
-0.222,0.098,0.24
-0.242,-1.337,0.24
-0.452,0.261,0.2
-0.749,0.299,0.2
-0.544,-0.578,0.2
-0.574,-0.3,0.19999999999999996
0.333,0.43,0.16
-0.325,0.517,0.12
-1.009,0.772,0.16
0.966,-0.721,0.36
-0.645,0.846,0.11999999999999995
-0.592,-1.085,0.20999999999999996
0.117,0.284,0.16
0.99,0.859,0.11999999999999998
0.742,0.72,0.08
1.021,0.644,0.16
-0.086,-0.564,0.2
-0.588,0.437,0.11999999999999998
0.328,0.732,0.08
0.101,0.928,0.11999999999999998
-0.279,-0.229,0.24
0.649,1.419,0.12
0.951,-0.158,0.36
-0.914,-0.234,0.28
0.841,1.249,0.16
1.024,1.176,0.16
0.48,1.413,0.12
-1.062,1.035,0.16
-0.771,-0.844,0.16
-0.507,1.456,0.16
0.186,-0.497,0.19999999999999996
-0.177,0.369,0.20000000000000004
-0.759,-0.58,0.16
-0.84,1.033,0.16
-0.762,0.441,0.12
-0.73,1.452,0.11
0.1,1.2,0.08
0.24,1.2,0.08
0.199,1.299,0.08
0.1,1.34,0.08
0.001,1.299,0.08
-0.04,1.2,0.08
0.001,1.101,0.08
0.1,1.06,0.08
0.199,1.101,0.08
0.407,1.208,0.16
0.321,1.417,0.16
0.1,1.515,0.16
-0.113,1.425,0.16
-0.196,1.208,0.16
-0.091,1.009,0.11999999999999998
0.193,0.842,0.11999999999999998
0.323,0.977,0.16
0.537,0.762,0.04
0.476,0.695,0.08
0.619,0.485,0.2
0.424,1.013,0.12
0.675,0.854,0.08
0.626,1.058,0.12
0.628,1.161,0.12
0.586,1.257,0.08
0.68,1.273,0.08
-0.795,1.2,0.08
0.013,0.841,0.11999999999999998
-0.645,0.015,0.24
0.492,-1.313,0.31999999999999995
-0.806,1.316,0.08
-0.93,1.442,0.12
0.272,0.591,0.08000000000000002
-0.186,0.724,0.11999999999999998
-0.4,0.756,0.16
-0.429,0.94,0.16
0.895,0.737,0.09999999999999999
0.108,-0.215,0.24
-1.065,0.4,0.11999999999999998
-0.348,0.756,0.11999999999999998
