config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.08	-1.084390243902439,-1.0676190476190477	1.084390243902439,1.0676190476190477	40,20	-1.484,-1.4671428571428573	1.484,1.4671428571428573	54,27	0,0	700
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.12	-1.084390243902439,-1.0573333333333335	1.084390243902439,1.0573333333333335	40,14	-1.484,-1.4580000000000002	1.484,1.4580000000000002	54,19		700
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.16	-1.084390243902439,-1.05	1.084390243902439,1.05	40,11	-1.484,-1.4386666666666665	1.484,1.4386666666666665	54,14		700
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.2	-1.084390243902439,-1.04	1.084390243902439,1.04	40,9	-1.484,-1.4384615384615385	1.484,1.4384615384615385	54,12		700
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.24	-1.084390243902439,-1.0050000000000001	1.084390243902439,1.0050000000000001	40,7	-1.484,-1.392	1.484,1.392	54,9		700
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.28	-1.084390243902439,-0.9857142857142858	1.084390243902439,0.9857142857142858	40,6	-1.484,-1.3844444444444446	1.484,1.3844444444444446	54,8		700
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.32	-1.084390243902439,-1.0142857142857145	1.084390243902439,1.0142857142857145	40,6	-1.484,-1.4155555555555557	1.484,1.4155555555555557	54,8		700
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.36	-1.084390243902439,-0.9733333333333334	1.084390243902439,0.9733333333333334	40,5	-1.484,-1.3285714285714285	1.484,1.3285714285714285	54,6		700
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.4	-1.084390243902439,-1.0	1.084390243902439,1.0	40,5	-1.484,-1.3571428571428572	1.484,1.3571428571428572	54,6		700
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.44	-1.084390243902439,-0.924	1.084390243902439,0.924	40,4	-1.484,-1.2933333333333334	1.484,1.2933333333333334	54,5		700
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.48	-1.084390243902439,-0.9480000000000001	1.084390243902439,0.9480000000000001	40,4	-1.484,-1.3199999999999998	1.484,1.3199999999999998	54,5		700
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.52	-1.084390243902439,-0.9720000000000001	1.084390243902439,0.9720000000000001	40,4	-1.484,-1.3466666666666667	1.484,1.3466666666666667	54,5		700
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04,0.56	-1.084390243902439,-0.9960000000000001	1.084390243902439,0.9960000000000001	40,4	-1.484,-1.3733333333333335	1.484,1.3733333333333335	54,5		700
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.12	-1.0676190476190477,-1.0573333333333335	1.0676190476190477,1.0573333333333335	20,14	-1.4671428571428573,-1.4580000000000002	1.4671428571428573,1.4580000000000002	27,19		700
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.16	-1.0676190476190477,-1.05	1.0676190476190477,1.05	20,11	-1.4671428571428573,-1.4386666666666665	1.4671428571428573,1.4386666666666665	27,14		700
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.2	-1.0676190476190477,-1.04	1.0676190476190477,1.04	20,9	-1.4671428571428573,-1.4384615384615385	1.4671428571428573,1.4384615384615385	27,12		700
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.24	-1.0676190476190477,-1.0050000000000001	1.0676190476190477,1.0050000000000001	20,7	-1.4671428571428573,-1.392	1.4671428571428573,1.392	27,9		700
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.28	-1.0676190476190477,-0.9857142857142858	1.0676190476190477,0.9857142857142858	20,6	-1.4671428571428573,-1.3844444444444446	1.4671428571428573,1.3844444444444446	27,8		700
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.32	-1.0676190476190477,-1.0142857142857145	1.0676190476190477,1.0142857142857145	20,6	-1.4671428571428573,-1.4155555555555557	1.4671428571428573,1.4155555555555557	27,8		700
c19	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.36	-1.0676190476190477,-0.9733333333333334	1.0676190476190477,0.9733333333333334	20,5	-1.4671428571428573,-1.3285714285714285	1.4671428571428573,1.3285714285714285	27,6		700
c20	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.4	-1.0676190476190477,-1.0	1.0676190476190477,1.0	20,5	-1.4671428571428573,-1.3571428571428572	1.4671428571428573,1.3571428571428572	27,6		700
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08,0.44	-1.0676190476190477,-0.924	1.0676190476190477,0.924	20,4	-1.4671428571428573,-1.2933333333333334	1.4671428571428573,1.2933333333333334	27,5		700
