x,y,r
-1.1,-1.5,0.36
-0.55,-1.5,0.36
0.0,-1.5,0.36
0.55,-1.5,0.36
1.1,-1.5,0.36
-1.1,-1.0,0.36
-0.55,-1.0,0.36
0.0,-1.0,0.36
0.55,-1.0,0.36
1.1,-1.0,0.36
-1.1,-0.5,0.36
-0.55,-0.5,0.36
0.0,-0.5,0.36
0.55,-0.5,0.36
1.1,-0.5,0.36
-1.1,0.0,0.36
-0.55,0.0,0.36
0.0,0.0,0.36
0.55,0.0,0.36
1.1,0.0,0.36
-1.1,0.5,0.36
-0.55,0.5,0.36
0.0,0.5,0.36
0.55,0.5,0.36
1.1,0.5,0.36
-1.1,1.0,0.36
-0.55,1.0,0.36
0.0,1.0,0.36
0.55,1.0,0.36
1.1,1.0,0.36
-1.1,1.5,0.36
-0.55,1.5,0.36
0.0,1.5,0.36
0.55,1.5,0.36
1.1,1.5,0.36
-0.10999999999999999,0.99,0.16
0.1,0.99,0.16
0.31,0.99,0.16
-0.10999999999999999,1.2,0.16
0.1,1.2,0.16
0.31,1.2,0.16
-0.10999999999999999,1.41,0.16
0.1,1.41,0.16
0.31,1.41,0.16
0.25999999999999995,-0.315,0.16
0.4699999999999999,-0.315,0.16
0.6799999999999999,-0.315,0.16
0.8899999999999999,-0.315,0.16
0.25999999999999995,-0.10500000000000001,0.16
0.4699999999999999,-0.10500000000000001,0.16
0.6799999999999999,-0.10500000000000001,0.16
0.8899999999999999,-0.10500000000000001,0.16
0.25999999999999995,0.10499999999999998,0.16
0.4699999999999999,0.10499999999999998,0.16
0.6799999999999999,0.10499999999999998,0.16
0.8899999999999999,0.10499999999999998,0.16
0.25999999999999995,0.315,0.16
0.4699999999999999,0.315,0.16
0.6799999999999999,0.315,0.16
0.8899999999999999,0.315,0.16
