x,y,r
-1.1,-1.5,0.44
-0.55,-1.5,0.44
0.0,-1.5,0.44
0.55,-1.5,0.44
1.1,-1.5,0.44
-1.1,-1.0,0.44
-0.55,-1.0,0.44
0.0,-1.0,0.44
0.55,-1.0,0.44
1.1,-1.0,0.44
-1.1,-0.5,0.44
-0.55,-0.5,0.44
0.0,-0.5,0.44
0.55,-0.5,0.44
1.1,-0.5,0.44
-1.1,0.0,0.44
-0.55,0.0,0.44
0.0,0.0,0.44
0.55,0.0,0.44
1.1,0.0,0.44
-1.1,0.5,0.44
-0.55,0.5,0.44
0.0,0.5,0.44
0.55,0.5,0.44
1.1,0.5,0.44
-1.1,1.0,0.44
-0.55,1.0,0.44
0.0,1.0,0.44
0.55,1.0,0.44
1.1,1.0,0.44
-1.1,1.5,0.44
-0.55,1.5,0.44
0.0,1.5,0.44
0.55,1.5,0.44
1.1,1.5,0.44
-0.10999999999999999,0.99,0.16
0.1,0.99,0.16
0.31,0.99,0.16
-0.10999999999999999,1.2,0.16
0.1,1.2,0.16
0.31,1.2,0.16
-0.10999999999999999,1.41,0.16
0.1,1.41,0.16
0.31,1.41,0.16
