config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.1,0.1,0.1	70000
c22	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.2,0.2,0.2	70000
c23	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.3,0.3,0.3	70000
c24	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.4,0.4,0.4	70000
c25	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.5,0.5,0.5	70000
c26	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.6,0.6,0.6	70000
c27	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.7,0.7,0.7	70000
c28	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.8,0.8,0.8	70000
c29	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24,0.16,0.16	-1.0050000000000001,-0.11000000000000001,0.2599999999999999	1.0050000000000001,0.31000000000000005,0.89	7,3,4	-1.4236363636363636,0.9786666666666666,-0.33199999999999996	1.4236363636363636,1.4213333333333333,0.33199999999999996	10,3,4	0.9,0.9,0.9	70000
c30	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28,0.16,0.16	-0.9857142857142858,-0.11000000000000001,0.2599999999999999	0.9857142857142858,0.31000000000000005,0.89	6,3,4	-1.424,0.9786666666666666,-0.33199999999999996	1.424,1.4213333333333333,0.33199999999999996	9,3,4	0.0,0.0,0.0	70000
