config	experiment	group	mazeFile	numStartingPositions	pc_files	traces	numEpisodes	numObstacles	run_id
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	0
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	1
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	2
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	3
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	4
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	5
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	6
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	7
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	8
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	9
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	10
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	11
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	12
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	13
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	14
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	15
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	16
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	17
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	18
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	19
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	20
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	21
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	22
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	23
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	24
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	25
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	26
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	27
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	28
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	29
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	30
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	31
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	32
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	33
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	34
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	35
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	36
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	37
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M100.xml	4	experiments/pc_layers/u08.csv	0.8	40000	10	38
