x,y,r
-1.1,-1.5,0.36
-0.55,-1.5,0.36
0.0,-1.5,0.36
0.55,-1.5,0.36
1.1,-1.5,0.36
-1.1,-1.0,0.36
-0.55,-1.0,0.36
0.0,-1.0,0.36
0.55,-1.0,0.36
1.1,-1.0,0.36
-1.1,-0.5,0.36
-0.55,-0.5,0.36
0.0,-0.5,0.36
0.55,-0.5,0.36
1.1,-0.5,0.36
-1.1,0.0,0.36
-0.55,0.0,0.36
0.0,0.0,0.36
0.55,0.0,0.36
1.1,0.0,0.36
-1.1,0.5,0.36
-0.55,0.5,0.36
0.0,0.5,0.36
0.55,0.5,0.36
1.1,0.5,0.36
-1.1,1.0,0.36
-0.55,1.0,0.36
0.0,1.0,0.36
0.55,1.0,0.36
1.1,1.0,0.36
-1.1,1.5,0.36
-0.55,1.5,0.36
0.0,1.5,0.36
0.55,1.5,0.36
1.1,1.5,0.36
