x,y,r
-1.1,-1.5,0.2
-0.8250000000000001,-1.5,0.2
-0.55,-1.5,0.2
-0.275,-1.5,0.2
0.0,-1.5,0.2
0.2749999999999999,-1.5,0.2
0.55,-1.5,0.2
0.8250000000000002,-1.5,0.2
1.1,-1.5,0.2
-1.1,-1.25,0.2
-0.8250000000000001,-1.25,0.2
-0.55,-1.25,0.2
-0.275,-1.25,0.2
0.0,-1.25,0.2
0.2749999999999999,-1.25,0.2
0.55,-1.25,0.2
0.8250000000000002,-1.25,0.2
1.1,-1.25,0.2
-1.1,-1.0,0.2
-0.8250000000000001,-1.0,0.2
-0.55,-1.0,0.2
-0.275,-1.0,0.2
0.0,-1.0,0.2
0.2749999999999999,-1.0,0.2
0.55,-1.0,0.2
0.8250000000000002,-1.0,0.2
1.1,-1.0,0.2
-1.1,-0.75,0.2
-0.8250000000000001,-0.75,0.2
-0.55,-0.75,0.2
-0.275,-0.75,0.2
0.0,-0.75,0.2
0.2749999999999999,-0.75,0.2
0.55,-0.75,0.2
0.8250000000000002,-0.75,0.2
1.1,-0.75,0.2
-1.1,-0.5,0.2
-0.8250000000000001,-0.5,0.2
-0.55,-0.5,0.2
-0.275,-0.5,0.2
0.0,-0.5,0.2
0.2749999999999999,-0.5,0.2
0.55,-0.5,0.2
0.8250000000000002,-0.5,0.2
1.1,-0.5,0.2
-1.1,-0.25,0.2
-0.8250000000000001,-0.25,0.2
-0.55,-0.25,0.2
-0.275,-0.25,0.2
0.0,-0.25,0.2
0.2749999999999999,-0.25,0.2
0.55,-0.25,0.2
0.8250000000000002,-0.25,0.2
1.1,-0.25,0.2
-1.1,0.0,0.2
-0.8250000000000001,0.0,0.2
-0.55,0.0,0.2
-0.275,0.0,0.2
0.0,0.0,0.2
0.2749999999999999,0.0,0.2
0.55,0.0,0.2
0.8250000000000002,0.0,0.2
1.1,0.0,0.2
-1.1,0.25,0.2
-0.8250000000000001,0.25,0.2
-0.55,0.25,0.2
-0.275,0.25,0.2
0.0,0.25,0.2
0.2749999999999999,0.25,0.2
0.55,0.25,0.2
0.8250000000000002,0.25,0.2
1.1,0.25,0.2
-1.1,0.5,0.2
-0.8250000000000001,0.5,0.2
-0.55,0.5,0.2
-0.275,0.5,0.2
0.0,0.5,0.2
0.2749999999999999,0.5,0.2
0.55,0.5,0.2
0.8250000000000002,0.5,0.2
1.1,0.5,0.2
-1.1,0.75,0.2
-0.8250000000000001,0.75,0.2
-0.55,0.75,0.2
-0.275,0.75,0.2
0.0,0.75,0.2
0.2749999999999999,0.75,0.2
0.55,0.75,0.2
0.8250000000000002,0.75,0.2
1.1,0.75,0.2
-1.1,1.0,0.2
-0.8250000000000001,1.0,0.2
-0.55,1.0,0.2
-0.275,1.0,0.2
0.0,1.0,0.2
0.2749999999999999,1.0,0.2
0.55,1.0,0.2
0.8250000000000002,1.0,0.2
1.1,1.0,0.2
-1.1,1.25,0.2
-0.8250000000000001,1.25,0.2
-0.55,1.25,0.2
-0.275,1.25,0.2
0.0,1.25,0.2
0.2749999999999999,1.25,0.2
0.55,1.25,0.2
0.8250000000000002,1.25,0.2
1.1,1.25,0.2
-1.1,1.5,0.2
-0.8250000000000001,1.5,0.2
-0.55,1.5,0.2
-0.275,1.5,0.2
0.0,1.5,0.2
0.2749999999999999,1.5,0.2
0.55,1.5,0.2
0.8250000000000002,1.5,0.2
1.1,1.5,0.2
