config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.485	1.485	55	0.7	70000
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4710344827586208	1.4710344827586208	28	0.7	70000
c2	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4657142857142857	1.4657142857142857	20	0.7	70000
c3	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.7	70000
c4	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.2	-1.04	1.04	9	-1.457142857142857	1.457142857142857	13	0.7	70000
c5	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.24	-1.0050000000000001	1.0050000000000001	7	-1.4236363636363636	1.4236363636363636	10	0.7	70000
c6	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.28	-0.9857142857142858	0.9857142857142858	6	-1.424	1.424	9	0.7	70000
c7	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.32	-1.0142857142857145	1.0142857142857145	6	-1.456	1.456	9	0.7	70000
c8	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.36	-0.9733333333333334	0.9733333333333334	5	-1.395	1.395	7	0.7	70000
c9	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.4	-1.0	1.0	5	-1.4249999999999998	1.4249999999999998	7	0.7	70000
c10	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.44	-0.924	0.924	4	-1.3857142857142857	1.3857142857142857	6	0.7	70000
c11	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.48	-0.9480000000000001	0.9480000000000001	4	-1.4142857142857141	1.4142857142857141	6	0.7	70000
c12	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.52	-0.9720000000000001	0.9720000000000001	4	-1.4428571428571428	1.4428571428571428	6	0.7	70000
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/M0.xml	7	0.56	-0.9960000000000001	0.9960000000000001	4	-1.4714285714285715	1.4714285714285715	6	0.7	70000
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.04	-1.084390243902439	1.084390243902439	40	-1.485	1.485	55	0.7	70000
c15	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.08	-1.0676190476190477	1.0676190476190477	20	-1.4710344827586208	1.4710344827586208	28	0.7	70000
c16	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.12	-1.0573333333333335	1.0573333333333335	14	-1.4657142857142857	1.4657142857142857	20	0.7	70000
c17	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.16	-1.05	1.05	11	-1.4525	1.4525	15	0.7	70000
c18	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.2	-1.04	1.04	9	-1.457142857142857	1.457142857142857	13	0.7	70000
c19	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.24	-1.0050000000000001	1.0050000000000001	7	-1.4236363636363636	1.4236363636363636	10	0.7	70000
c20	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.28	-0.9857142857142858	0.9857142857142858	6	-1.424	1.424	9	0.7	70000
c21	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32	-1.0142857142857145	1.0142857142857145	6	-1.456	1.456	9	0.7	70000
c22	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36	-0.9733333333333334	0.9733333333333334	5	-1.395	1.395	7	0.7	70000
c23	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4	-1.0	1.0	5	-1.4249999999999998	1.4249999999999998	7	0.7	70000
c24	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44	-0.924	0.924	4	-1.3857142857142857	1.3857142857142857	6	0.7	70000
c25	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.48	-0.9480000000000001	0.9480000000000001	4	-1.4142857142857141	1.4142857142857141	6	0.7	70000
c26	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.52	-0.9720000000000001	0.9720000000000001	4	-1.4428571428571428	1.4428571428571428	6	0.7	70000
c27	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.56	-0.9960000000000001	0.9960000000000001	4	-1.4714285714285715	1.4714285714285715	6	0.7	70000
